epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5733455419540405,0.7008247971534729,0.001,0.542062520980835,0.9604741930961609
1,0.6206403374671936,0.6490882039070129,0.001,0.5979169011116028,0.6655134558677673
2,0.6389230489730835,0.6339666247367859,0.001,0.5931097865104675,0.6785356402397156
3,0.64621901512146,0.6241615414619446,0.001,0.6403799653053284,0.6231416463851929
4,0.660610556602478,0.6128413677215576,0.001,0.5299301743507385,0.9113461375236511
5,0.6663042306900024,0.6046673059463501,0.001,0.6366029381752014,0.6299007534980774
6,0.6760607957839966,0.5930830240249634,0.001,0.5482431054115295,0.7392011284828186
7,0.6880489587783813,0.5810229778289795,0.001,0.6407233476638794,0.6293492913246155
8,0.7227833271026611,0.5368551015853882,0.000100000005,0.6764335632324219,0.5964047312736511
9,0.7408371567726135,0.5121322870254517,0.000100000005,0.67792147397995,0.6090315580368042
10,0.7519097924232483,0.4984813630580902,0.000100000005,0.6780359148979187,0.6174720525741577
11,0.7611227035522461,0.48532024025917053,0.000100000005,0.6684216260910034,0.6302629113197327
12,0.7678750157356262,0.4739978611469269,0.000100000005,0.6639578938484192,0.6426066160202026
13,0.7773168087005615,0.4576820731163025,1.0000001e-05,0.6689939498901367,0.6465172171592712
14,0.7794626951217651,0.4505385756492615,1.0000001e-05,0.6672770977020264,0.6526276469230652
15,0.781608521938324,0.4492197334766388,1.0000001e-05,0.6683071851730347,0.6560148596763611
