epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.609739363193512,0.6616140604019165,0.001,0.5295867919921875,0.8440697193145752
1,0.6358902454376221,0.6355292201042175,0.001,0.5481286644935608,0.9204949140548706
2,0.6515693664550781,0.6192678809165955,0.001,0.5714776515960693,1.0300918817520142
3,0.6669909358024597,0.607023298740387,0.001,0.5902483463287354,0.7729340195655823
4,0.6780635714530945,0.594723641872406,0.001,0.6324825286865234,0.6592108011245728
5,0.6867042183876038,0.5822067260742188,0.001,0.6601808667182922,0.6330882906913757
6,0.6928271055221558,0.5742483139038086,0.001,0.6089046597480774,0.7554916739463806
7,0.7021258473396301,0.5651718974113464,0.001,0.6831864714622498,0.5856476426124573
8,0.7089067697525024,0.5567257404327393,0.001,0.6093624830245972,0.844714879989624
9,0.7123401165008545,0.5512700080871582,0.001,0.6400366425514221,0.6729792356491089
10,0.7174901962280273,0.5430747270584106,0.001,0.6618976593017578,0.6256995797157288
11,0.7251294851303101,0.5333499312400818,0.001,0.629621148109436,0.6639983654022217
12,0.7483047842979431,0.49824491143226624,0.000100000005,0.7449925541877747,0.5013381242752075
13,0.753454864025116,0.4893724024295807,0.000100000005,0.759871780872345,0.4850517809391022
14,0.7553431987762451,0.48580947518348694,0.000100000005,0.7345770597457886,0.5186377763748169
15,0.7629252672195435,0.47874724864959717,0.000100000005,0.7420167326927185,0.5116726160049438
16,0.7628107666969299,0.4753120243549347,0.000100000005,0.7644500136375427,0.4771355092525482
17,0.7687619924545288,0.46898946166038513,0.000100000005,0.7506008744239807,0.49892428517341614
18,0.7689908742904663,0.4676249027252197,0.000100000005,0.7581549882888794,0.47953152656555176
19,0.7710795402526855,0.46511727571487427,0.000100000005,0.7532333731651306,0.4985741078853607
20,0.7724815011024475,0.46370577812194824,0.000100000005,0.764335572719574,0.47253820300102234
21,0.7746845483779907,0.46245792508125305,0.000100000005,0.7694860696792603,0.46969833970069885
22,0.7760578989982605,0.45895665884017944,0.000100000005,0.7471672296524048,0.5080544352531433
23,0.7779462933540344,0.45647311210632324,0.000100000005,0.760901927947998,0.48243188858032227
24,0.778346836566925,0.4536627531051636,0.000100000005,0.7652512192726135,0.47506439685821533
25,0.7792051434516907,0.4510551989078522,0.000100000005,0.7747510671615601,0.4600767195224762
26,0.7826957702636719,0.4476128816604614,0.000100000005,0.7614741921424866,0.47818243503570557
27,0.7828388214111328,0.4464920461177826,0.000100000005,0.7614741921424866,0.4845975339412689
28,0.7833824753761292,0.4452019929885864,0.000100000005,0.7762389779090881,0.4547891914844513
29,0.788503885269165,0.4392068088054657,0.000100000005,0.7661668658256531,0.47386598587036133
30,0.7907642126083374,0.4357537627220154,0.000100000005,0.7677692770957947,0.4681737422943115
31,0.7893336415290833,0.4368947446346283,0.000100000005,0.7709740400314331,0.4723021388053894
32,0.7921375632286072,0.43347132205963135,0.000100000005,0.7654801607131958,0.47323742508888245
33,0.7991187572479248,0.423688143491745,1.0000001e-05,0.7856243848800659,0.4432789087295532
34,0.7982604503631592,0.42198657989501953,1.0000001e-05,0.7852810025215149,0.4414314925670624
