epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5814425945281982,0.6761332154273987,0.001,0.5516767501831055,0.7185627222061157
1,0.6158621907234192,0.6529902219772339,0.001,0.5393155813217163,0.8151695132255554
2,0.6358616352081299,0.6375796794891357,0.001,0.5521345734596252,0.7392069697380066
3,0.6475923657417297,0.6245112419128418,0.001,0.5528213381767273,1.205636739730835
4,0.6593230366706848,0.6134936213493347,0.001,0.5809774398803711,0.6928737163543701
5,0.6682212352752686,0.6049545407295227,0.001,0.5745679140090942,0.8152122497558594
6,0.6831278204917908,0.590194821357727,0.001,0.6244706511497498,0.6577622890472412
7,0.6940860152244568,0.5780669450759888,0.001,0.5728511214256287,1.0047825574874878
8,0.7085920572280884,0.5603991150856018,0.001,0.633398175239563,0.6920648813247681
9,0.7222397327423096,0.5422297716140747,0.001,0.49708136916160583,1.3515129089355469
10,0.7374610304832458,0.5193880200386047,0.001,0.6348861455917358,0.6837849617004395
11,0.8021515607833862,0.4261244237422943,0.000100000005,0.6766624450683594,0.6621691584587097
12,0.8228949308395386,0.38404518365859985,0.000100000005,0.6750600934028625,0.7507435083389282
13,0.8375725746154785,0.3595685362815857,0.000100000005,0.6694517731666565,0.7426036596298218
