epoch,accuracy,dice_coef,f1,iou_coef,loss,lr,val_accuracy,val_dice_coef,val_f1,val_iou_coef,val_loss
0,0.6631747484207153,0.518867552280426,0.6284936666488647,0.36362868547439575,1.5887491703033447,0.001,0.6838046908378601,0.5256667137145996,0.6549149751663208,0.36107343435287476,1.4351927042007446
1,0.7692538499832153,0.6662330031394958,0.7691366672515869,0.5050283670425415,1.065019965171814,0.001,0.599618136882782,0.5267114043235779,0.6040816307067871,0.36196276545524597,1.8008482456207275
2,0.7874195575714111,0.693842887878418,0.7901504635810852,0.5370778441429138,0.9788380265235901,0.001,0.7440657019615173,0.6532007455825806,0.7484849095344543,0.49133944511413574,1.1506398916244507
3,0.7996503114700317,0.7105852961540222,0.8033297061920166,0.557289183139801,0.9211705327033997,0.001,0.7783651351928711,0.6975497007369995,0.7840386629104614,0.5431240797042847,1.0071077346801758
4,0.8097983598709106,0.7248128056526184,0.8142089247703552,0.5748587846755981,0.8746311068534851,0.001,0.7729078531265259,0.7013290524482727,0.7782976627349854,0.5484020113945007,1.0431219339370728
5,0.8155544400215149,0.7338650822639465,0.8201531171798706,0.5862141847610474,0.8429892659187317,0.001,0.7812264561653137,0.7174968719482422,0.7892460227012634,0.5679822564125061,0.9835159778594971
6,0.8226349949836731,0.7443675994873047,0.8279117941856384,0.5993308424949646,0.8060222864151001,0.001,0.7851175665855408,0.7206317782402039,0.7903706431388855,0.5724081993103027,0.9845570921897888
7,0.8274868130683899,0.7514923214912415,0.8327885270118713,0.6083287596702576,0.7771273255348206,0.001,0.7932352423667908,0.719636857509613,0.7981592416763306,0.5710717439651489,0.9437758326530457
8,0.8320534825325012,0.7593573927879333,0.8379961848258972,0.61838698387146,0.7532276511192322,0.001,0.7658599615097046,0.6798473000526428,0.7705947160720825,0.5228211283683777,1.0195637941360474
9,0.8370497822761536,0.7664032578468323,0.8428869843482971,0.6271347403526306,0.7275318503379822,0.001,0.7816641926765442,0.7280625700950623,0.7894497513771057,0.5818606019020081,1.0070712566375732
10,0.8436088562011719,0.775408923625946,0.8496591448783875,0.6387002468109131,0.6971049308776855,0.001,0.77100670337677,0.7095831632614136,0.777290403842926,0.5576224327087402,1.0485557317733765
11,0.8458980917930603,0.7790712118148804,0.8517253398895264,0.6432476043701172,0.685154914855957,0.001,0.7921172976493835,0.7448489665985107,0.7987530827522278,0.6019172668457031,0.9897037148475647
12,0.8528326153755188,0.7882738709449768,0.8588271737098694,0.6553683280944824,0.6517465114593506,0.001,0.7887701392173767,0.729587972164154,0.7962607741355896,0.5824263095855713,0.9762032628059387
