epoch,accuracy,dice_coef,f1,iou_coef,loss,lr,val_accuracy,val_dice_coef,val_f1,val_iou_coef,val_loss
0,0.2038804590702057,0.05570254847407341,0.04007522016763687,0.028691161423921585,4.189758777618408,0.001,0.36329761147499084,0.06137511879205704,0.04599332436919212,0.03168775886297226,4.064574718475342
1,0.3613881468772888,0.06707664579153061,0.05633138492703438,0.034746766090393066,3.9579641819000244,0.001,0.36450159549713135,0.07169841229915619,0.05993726849555969,0.03722080588340759,3.8610658645629883
2,0.36274614930152893,0.07747969031333923,0.05975772440433502,0.0403510257601738,3.7652766704559326,0.001,0.3650670051574707,0.08293246477842331,0.06213850900530815,0.04330518841743469,3.6856565475463867
3,0.36332088708877563,0.08800952881574631,0.061116550117731094,0.0460866242647171,3.5975027084350586,0.001,0.36506444215774536,0.09349618852138519,0.06361686438322067,0.04909522458910942,3.5332188606262207
4,0.3638729453086853,0.09946779161691666,0.06250680983066559,0.05239984020590782,3.450568437576294,0.001,0.3655526041984558,0.10412783920764923,0.06270509213209152,0.05498511716723442,3.3960249423980713
5,0.36418935656547546,0.11113514751195908,0.06356997787952423,0.05891351401805878,3.3252580165863037,0.001,0.3658444881439209,0.11570041626691818,0.05834305286407471,0.06146468222141266,3.2837061882019043
6,0.3646095395088196,0.12339989840984344,0.064600870013237,0.06584625691175461,3.2183258533477783,0.001,0.36602964997291565,0.12634514272212982,0.05362776294350624,0.06750861555337906,3.1870007514953613
7,0.36500146985054016,0.13543547689914703,0.06504283845424652,0.07273924350738525,3.1300694942474365,0.001,0.36567211151123047,0.1403672695159912,0.06350293010473251,0.07557909190654755,3.1129329204559326
8,0.3653450310230255,0.1470530927181244,0.06578522175550461,0.07948534190654755,3.0583019256591797,0.001,0.3661769926548004,0.1507308930158615,0.0603836290538311,0.08163150399923325,3.0457682609558105
9,0.3656916320323944,0.15812300145626068,0.06623144447803497,0.08599498867988586,3.000432014465332,0.001,0.366269052028656,0.1623697578907013,0.06509020179510117,0.08851930499076843,2.999319076538086
10,0.3663126826286316,0.16858382523059845,0.0676293596625328,0.09222022444009781,2.9536688327789307,0.001,0.36493945121765137,0.17052960395812988,0.06190377473831177,0.0934111699461937,2.9638004302978516
11,0.36694055795669556,0.1780960112810135,0.06902338564395905,0.09794574975967407,2.917128086090088,0.001,0.3664754629135132,0.1794196367263794,0.06351634114980698,0.09876454621553421,2.929699182510376
12,0.36750656366348267,0.1865328699350357,0.07069848477840424,0.10307466983795166,2.888460159301758,0.001,0.3642694056034088,0.18546098470687866,0.06023504585027695,0.10246898233890533,2.917259693145752
13,0.36847230792045593,0.19421839714050293,0.0728738009929657,0.10779210925102234,2.865370035171509,0.001,0.3657301068305969,0.19360202550888062,0.06474146991968155,0.10743919759988785,2.8948025703430176
14,0.36925771832466125,0.20078550279140472,0.07479916512966156,0.11185620725154877,2.847115993499756,0.001,0.3659011125564575,0.1973726749420166,0.0624096617102623,0.10977524518966675,2.882089853286743
15,0.37057626247406006,0.20687070488929749,0.07780871540307999,0.11564409732818604,2.830791473388672,0.001,0.3639678955078125,0.20121848583221436,0.05911267548799515,0.1121634691953659,2.885756731033325
16,0.37161555886268616,0.2116047441959381,0.08002772927284241,0.11861057579517365,2.817873239517212,0.001,0.36506187915802,0.20587554574012756,0.06314549595117569,0.11507942527532578,2.8801138401031494
17,0.37264302372932434,0.21582989394664764,0.08252999186515808,0.12126795202493668,2.8071441650390625,0.001,0.3648137152194977,0.20783568918704987,0.0617976039648056,0.11630839109420776,2.875661611557007
18,0.37379348278045654,0.2193475067615509,0.08479704707860947,0.12349109351634979,2.797210216522217,0.001,0.36472252011299133,0.20972731709480286,0.06318677961826324,0.11749948561191559,2.8779125213623047
19,0.37496864795684814,0.22246916592121124,0.08755612373352051,0.12546789646148682,2.788048505783081,0.001,0.3634134531021118,0.20981726050376892,0.058556921780109406,0.11757626384496689,2.884105920791626
20,0.3754168450832367,0.22438615560531616,0.08856810629367828,0.1266871988773346,2.782456398010254,0.001,0.3649232089519501,0.21311618387699127,0.06271384656429291,0.11962370574474335,2.8739383220672607
21,0.37620776891708374,0.2264377474784851,0.09025393426418304,0.1279905140399933,2.7761423587799072,0.001,0.3646250069141388,0.21355468034744263,0.06316126883029938,0.11992307752370834,2.882291555404663
22,0.37721237540245056,0.22859236598014832,0.09251782298088074,0.1293669492006302,2.769477128982544,0.001,0.36399877071380615,0.21309050917625427,0.06065668910741806,0.11962752044200897,2.8802621364593506
23,0.37794026732444763,0.23006461560726166,0.09408894181251526,0.13030512630939484,2.7640979290008545,0.001,0.36408543586730957,0.2147950679063797,0.061141807585954666,0.12068747729063034,2.8863680362701416
24,0.37851160764694214,0.23134976625442505,0.09527503699064255,0.13112756609916687,2.7599189281463623,0.001,0.3628997802734375,0.21316783130168915,0.0592380128800869,0.11968649178743362,2.888246536254883
25,0.37881478667259216,0.2321513593196869,0.09600996226072311,0.13163959980010986,2.756793975830078,0.001,0.36343687772750854,0.21523229777812958,0.06057240068912506,0.1209675520658493,2.8871474266052246
26,0.37940701842308044,0.2332983911037445,0.09726367145776749,0.1323745846748352,2.752997875213623,0.001,0.36350488662719727,0.2150217592716217,0.06034095957875252,0.12084651738405228,2.893017292022705
27,0.38004830479621887,0.23439161479473114,0.0987493172287941,0.13307411968708038,2.748636484146118,0.001,0.36387792229652405,0.21580331027507782,0.06164584681391716,0.12134239822626114,2.8959426879882812
28,0.38034531474113464,0.234975203871727,0.09930246323347092,0.13344822824001312,2.746297597885132,0.001,0.3633461892604828,0.2161516696214676,0.0605592280626297,0.12154841423034668,2.896411657333374
29,0.380619078874588,0.23566372692584991,0.09997496008872986,0.13389144837856293,2.744213342666626,0.001,0.36302319169044495,0.21530799567699432,0.05920935049653053,0.12101622670888901,2.90088152885437
30,0.38092371821403503,0.2360541671514511,0.1006421446800232,0.13414046168327332,2.7420144081115723,0.001,0.3624201714992523,0.2151780128479004,0.059309184551239014,0.12094885110855103,2.9034855365753174
31,0.381909042596817,0.23728595674037933,0.10275056213140488,0.13492991030216217,2.73641037940979,0.000100000005,0.3632659912109375,0.21563659608364105,0.06023659184575081,0.12123850733041763,2.8985698223114014
32,0.3822784125804901,0.23777863383293152,0.10356129705905914,0.13524632155895233,2.734262704849243,0.000100000005,0.36335289478302,0.2163935750722885,0.06059884652495384,0.12170344591140747,2.900552272796631
33,0.3824261426925659,0.2380370944738388,0.10384640842676163,0.13541279733181,2.7332205772399902,0.000100000005,0.36304566264152527,0.21623748540878296,0.05980857089161873,0.12160619348287582,2.9028990268707275
34,0.3825431764125824,0.23821420967578888,0.10408453643321991,0.1355268657207489,2.7324776649475098,0.000100000005,0.36326465010643005,0.21641863882541656,0.06015300378203392,0.12172332406044006,2.904348373413086
35,0.38262850046157837,0.23840034008026123,0.10426003485918045,0.13564684987068176,2.731797456741333,0.000100000005,0.3631404936313629,0.2163737565279007,0.060320060700178146,0.1216956079006195,2.9057726860046387
