epoch,auxilliary_output_1_accuracy,auxilliary_output_1_categorical_accuracy,auxilliary_output_1_loss,auxilliary_output_2_accuracy,auxilliary_output_2_categorical_accuracy,auxilliary_output_2_loss,loss,lr,output_accuracy,output_categorical_accuracy,output_loss,val_auxilliary_output_1_accuracy,val_auxilliary_output_1_categorical_accuracy,val_auxilliary_output_1_loss,val_auxilliary_output_2_accuracy,val_auxilliary_output_2_categorical_accuracy,val_auxilliary_output_2_loss,val_loss,val_output_accuracy,val_output_categorical_accuracy,val_output_loss
0,0.0989953801035881,0.0989953801035881,2.304258346557617,0.09901760518550873,0.09901760518550873,2.305062770843506,6.933417797088623,0.001,0.102129265666008,0.102129265666008,2.3240933418273926,0.10396634787321091,0.10396634787321091,2.3026630878448486,0.10396634787321091,0.10396634787321091,2.302586078643799,6.908976078033447,0.10396634787321091,0.10396634787321091,2.3037259578704834
1,0.09859530627727509,0.09859530627727509,2.302764892578125,0.10057343542575836,0.10057343542575836,2.3031771183013916,6.911645889282227,0.001,0.09906205534934998,0.09906205534934998,2.3056983947753906,0.09775640815496445,0.09775640815496445,2.302781820297241,0.09214743226766586,0.09214743226766586,2.3028018474578857,6.908499717712402,0.10376602411270142,0.10376602411270142,2.30291748046875
2,0.09988442063331604,0.09988442063331604,2.302907943725586,0.09890647232532501,0.09890647232532501,2.3029797077178955,6.910706996917725,0.001,0.09977329522371292,0.09977329522371292,2.3048176765441895,0.09194711595773697,0.09194711595773697,2.302872657775879,0.09194711595773697,0.09194711595773697,2.3030550479888916,6.910847187042236,0.10116185992956161,0.10116185992956161,2.3049216270446777
3,0.09821745753288269,0.09821745753288269,2.302814245223999,0.09710615128278732,0.09710615128278732,2.3028903007507324,6.910286903381348,0.001,0.09921763837337494,0.09921763837337494,2.3045735359191895,0.09214743226766586,0.09214743226766586,2.3029823303222656,0.09715545177459717,0.09715545177459717,2.3030588626861572,6.910021781921387,0.09715545177459717,0.09715545177459717,2.303980588912964
4,0.09915096312761307,0.09915096312761307,2.302716016769409,0.09948435425758362,0.09948435425758362,2.3027777671813965,6.909248352050781,0.001,0.10057343542575836,0.10057343542575836,2.30375337600708,0.09735576808452606,0.09735576808452606,2.3027117252349854,0.09735576808452606,0.09735576808452606,2.302720785140991,6.90818452835083,0.10076121985912323,0.10076121985912323,2.3027515411376953
5,0.09928431361913681,0.09928431361913681,2.3026952743530273,0.09910650551319122,0.09910650551319122,2.302764892578125,6.908771514892578,0.001,0.10019558668136597,0.10019558668136597,2.303313732147217,0.10376602411270142,0.10376602411270142,2.302617311477661,0.10376602411270142,0.10376602411270142,2.302583694458008,6.907729625701904,0.1041666641831398,0.1041666641831398,2.302527904510498
6,0.09830636531114578,0.09830636531114578,2.3027002811431885,0.09910650551319122,0.09910650551319122,2.302767038345337,6.908874034881592,0.001,0.09692834317684174,0.09692834317684174,2.303403854370117,0.09715545177459717,0.09715545177459717,2.302757501602173,0.09715545177459717,0.09715545177459717,2.3027243614196777,6.908411502838135,0.09715545177459717,0.09715545177459717,2.3029282093048096
7,0.09910650551319122,0.09910650551319122,2.3027560710906982,0.09826191514730453,0.09826191514730453,2.3027517795562744,6.908639907836914,0.001,0.0970839262008667,0.0970839262008667,2.303130865097046,0.09214743226766586,0.09214743226766586,2.302929162979126,0.09214743226766586,0.09214743226766586,2.3029346466064453,6.909557819366455,0.09214743226766586,0.09214743226766586,2.303692579269409
8,0.09921763837337494,0.09921763837337494,2.3027045726776123,0.09863975644111633,0.09863975644111633,2.3027210235595703,6.908405780792236,0.001,0.09808410704135895,0.09808410704135895,2.302978277206421,0.09715545177459717,0.09715545177459717,2.3028979301452637,0.09715545177459717,0.09715545177459717,2.302868604660034,6.908796310424805,0.09715545177459717,0.09715545177459717,2.3030292987823486
9,0.10017336159944534,0.10017336159944534,2.3027262687683105,0.09799519926309586,0.09799519926309586,2.302729845046997,6.908397674560547,0.001,0.09863975644111633,0.09863975644111633,2.302935838699341,0.09715545177459717,0.09715545177459717,2.3028481006622314,0.09715545177459717,0.09715545177459717,2.30285906791687,6.908578872680664,0.09715545177459717,0.09715545177459717,2.3028721809387207
10,0.09877311438322067,0.09877311438322067,2.3026175498962402,0.09921763837337494,0.09921763837337494,2.3026037216186523,6.907975196838379,0.000100000005,0.09932877123355865,0.09932877123355865,2.302755117416382,0.09194711595773697,0.09194711595773697,2.3028275966644287,0.09194711595773697,0.09194711595773697,2.3028340339660645,6.908474445343018,0.09715545177459717,0.09715545177459717,2.3028125762939453
