epoch,accuracy,categorical_accuracy,loss,lr,val_accuracy,val_categorical_accuracy,val_loss
0,0.6394230723381042,0.6394230723381042,0.9709112644195557,0.001,0.5,0.5,8.919952392578125
1,0.7836538553237915,0.7836538553237915,0.5908983945846558,0.001,0.5,0.5,4.6404032707214355
2,0.7980769276618958,0.7980769276618958,0.4441840350627899,0.001,0.38942307233810425,0.38942307233810425,2.9083352088928223
3,0.9086538553237915,0.9086538553237915,0.31667205691337585,0.001,0.24519230425357819,0.24519230425357819,2.6777546405792236
4,0.8605769276618958,0.8605769276618958,0.35501939058303833,0.001,0.3076923191547394,0.3076923191547394,3.0882394313812256
5,0.9230769276618958,0.9230769276618958,0.23078519105911255,0.001,0.3413461446762085,0.3413461446762085,6.069068431854248
6,0.879807710647583,0.879807710647583,0.3278672397136688,0.001,0.25961539149284363,0.25961539149284363,4.849886417388916
7,0.9567307829856873,0.9567307829856873,0.19531172513961792,0.001,0.22596153616905212,0.22596153616905212,7.438780784606934
0,0.5528846383094788,0.5528846383094788,1.14896821975708,0.001,0.18269230425357819,0.18269230425357819,4.579822063446045
1,0.7115384340286255,0.7115384340286255,0.7681772708892822,0.001,0.3509615361690521,0.3509615361690521,3.32466983795166
2,0.8317307829856873,0.8317307829856873,0.5045415163040161,0.001,0.24519230425357819,0.24519230425357819,5.8156046867370605
3,0.8509615659713745,0.8509615659713745,0.4143945872783661,0.001,0.2836538553237915,0.2836538553237915,3.012542486190796
4,0.9134615659713745,0.9134615659713745,0.35344406962394714,0.001,0.3461538553237915,0.3461538553237915,3.871755361557007
5,0.875,0.875,0.37726181745529175,0.001,0.3701923191547394,0.3701923191547394,2.091139316558838
6,0.9038461446762085,0.9038461446762085,0.24969390034675598,0.001,0.3173076808452606,0.3173076808452606,3.921731472015381
7,0.9278846383094788,0.9278846383094788,0.20585817098617554,0.001,0.4038461446762085,0.4038461446762085,1.8199117183685303
8,0.9182692170143127,0.9182692170143127,0.26076817512512207,0.001,0.49038460850715637,0.49038460850715637,2.69551682472229
9,0.8942307829856873,0.8942307829856873,0.26229631900787354,0.001,0.36057692766189575,0.36057692766189575,3.2697248458862305
10,0.9519230723381042,0.9519230723381042,0.1759280562400818,0.001,0.3701923191547394,0.3701923191547394,4.479183673858643
11,0.9519230723381042,0.9519230723381042,0.15241818130016327,0.001,0.5432692170143127,0.5432692170143127,4.470808029174805
12,0.9519230723381042,0.9519230723381042,0.17197507619857788,0.000100000005,0.5865384340286255,0.5865384340286255,3.8627421855926514
13,0.9711538553237915,0.9711538553237915,0.11020594090223312,0.000100000005,0.5769230723381042,0.5769230723381042,3.428792715072632
14,0.9567307829856873,0.9567307829856873,0.12196946889162064,0.000100000005,0.5769230723381042,0.5769230723381042,2.568453550338745
0,0.5817307829856873,0.5817307829856873,1.0272324085235596,0.001,0.18269230425357819,0.18269230425357819,3.4525697231292725
1,0.6346153616905212,0.6346153616905212,0.9034731984138489,0.001,0.4951923191547394,0.4951923191547394,1.4044429063796997
2,0.7355769276618958,0.7355769276618958,0.6699435710906982,0.001,0.3509615361690521,0.3509615361690521,1.9055402278900146
3,0.7403846383094788,0.7403846383094788,0.7419232726097107,0.001,0.26923078298568726,0.26923078298568726,2.0972707271575928
4,0.692307710647583,0.692307710647583,0.7330335974693298,0.001,0.32692307233810425,0.32692307233810425,2.6601691246032715
5,0.8028846383094788,0.8028846383094788,0.54075026512146,0.001,0.2211538404226303,0.2211538404226303,3.719250202178955
6,0.7836538553237915,0.7836538553237915,0.5690303444862366,0.000100000005,0.32211539149284363,0.32211539149284363,3.1787164211273193
7,0.8846153616905212,0.8846153616905212,0.33895227313041687,0.000100000005,0.5,0.5,2.3099610805511475
8,0.8605769276618958,0.8605769276618958,0.3526293933391571,0.000100000005,0.5384615659713745,0.5384615659713745,2.0340576171875
