epoch,accuracy,categorical_accuracy,loss,lr,val_accuracy,val_categorical_accuracy,val_loss
0,0.4375,0.4375,1.4031012058258057,0.001,0.5,0.5,1.3193695545196533
1,0.625,0.625,0.9708312153816223,0.001,0.5,0.5,1.281367540359497
2,0.6586538553237915,0.6586538553237915,1.1968193054199219,0.001,0.5,0.5,1.2636542320251465
3,0.7644230723381042,0.7644230723381042,0.6324014663696289,0.001,0.5,0.5,1.2515232563018799
4,0.879807710647583,0.879807710647583,0.39925962686538696,0.001,0.5,0.5,1.2469708919525146
5,0.8509615659713745,0.8509615659713745,0.4328466057777405,0.001,0.5,0.5,1.243062973022461
6,0.9182692170143127,0.9182692170143127,0.2559734582901001,0.001,0.5,0.5,1.240883469581604
7,0.9375,0.9375,0.2195126712322235,0.001,0.5,0.5,1.2406922578811646
8,0.9375,0.9375,0.23403140902519226,0.001,0.5,0.5,1.241138219833374
9,0.8990384340286255,0.8990384340286255,0.2835039794445038,0.001,0.5,0.5,1.2429735660552979
10,0.8846153616905212,0.8846153616905212,0.36348214745521545,0.001,0.5,0.5,1.2423694133758545
11,0.879807710647583,0.879807710647583,0.3424437940120697,0.001,0.5,0.5,1.2444877624511719
12,0.9519230723381042,0.9519230723381042,0.16468779742717743,0.000100000005,0.5,0.5,1.2456512451171875
13,0.9519230723381042,0.9519230723381042,0.15544651448726654,0.000100000005,0.5,0.5,1.2481783628463745
14,0.9711538553237915,0.9711538553237915,0.10414817929267883,0.000100000005,0.5,0.5,1.251524806022644
0,0.48557692766189575,0.48557692766189575,1.2549645900726318,0.001,0.5,0.5,1.3757942914962769
1,0.5817307829856873,0.5817307829856873,1.0546847581863403,0.001,0.5,0.5,1.3730623722076416
2,0.5240384340286255,0.5240384340286255,1.1179006099700928,0.001,0.18269230425357819,0.18269230425357819,1.3793423175811768
3,0.5961538553237915,0.5961538553237915,0.9394522905349731,0.001,0.18269230425357819,0.18269230425357819,1.3709346055984497
4,0.5961538553237915,0.5961538553237915,0.9587641358375549,0.001,0.39423078298568726,0.39423078298568726,1.3538625240325928
5,0.567307710647583,0.567307710647583,0.9864051342010498,0.001,0.4086538553237915,0.4086538553237915,1.3504910469055176
6,0.620192289352417,0.620192289352417,0.8980057835578918,0.001,0.5,0.5,1.3161654472351074
7,0.629807710647583,0.629807710647583,0.9596402645111084,0.001,0.5,0.5,1.270362138748169
8,0.6778846383094788,0.6778846383094788,0.7144121527671814,0.001,0.5,0.5,1.225805640220642
9,0.7355769276618958,0.7355769276618958,0.6328119039535522,0.001,0.4663461446762085,0.4663461446762085,1.2911099195480347
10,0.7355769276618958,0.7355769276618958,0.6890522241592407,0.001,0.17788460850715637,0.17788460850715637,1.417791485786438
11,0.7980769276618958,0.7980769276618958,0.5533514022827148,0.001,0.2836538553237915,0.2836538553237915,1.3272217512130737
12,0.7980769276618958,0.7980769276618958,0.6076011657714844,0.001,0.33173078298568726,0.33173078298568726,1.3790946006774902
13,0.754807710647583,0.754807710647583,0.5517709255218506,0.000100000005,0.32692307233810425,0.32692307233810425,1.3903167247772217
14,0.8557692170143127,0.8557692170143127,0.403656005859375,0.000100000005,0.17788460850715637,0.17788460850715637,1.5135173797607422
15,0.8557692170143127,0.8557692170143127,0.371187686920166,0.000100000005,0.22596153616905212,0.22596153616905212,1.5776666402816772
